[1]     valid_0's ndcg@1: 0.482417      valid_0's error: 0.604847
[2]     valid_0's ndcg@1: 0.48553       valid_0's error: 0.608167
[3]     valid_0's ndcg@1: 0.48576       valid_0's error: 0.609218
[4]     valid_0's ndcg@1: 0.485991      valid_0's error: 0.610587
[5]     valid_0's ndcg@1: 0.48553       valid_0's error: 0.611367
[6]     valid_0's ndcg@1: 0.485415      valid_0's error: 0.611804
[7]     valid_0's ndcg@1: 0.485415      valid_0's error: 0.612174
[8]     valid_0's ndcg@1: 0.485415      valid_0's error: 0.612525
[9]     valid_0's ndcg@1: 0.485415      valid_0's error: 0.612613
[10]    valid_0's ndcg@1: 0.485415      valid_0's error: 0.612498
[11]    valid_0's ndcg@1: 0.485415      valid_0's error: 0.612652
[12]    valid_0's ndcg@1: 0.485415      valid_0's error: 0.612523
[13]    valid_0's ndcg@1: 0.485415      valid_0's error: 0.612787
[14]    valid_0's ndcg@1: 0.485415      valid_0's error: 0.612899
[15]    valid_0's ndcg@1: 0.485415      valid_0's error: 0.613041
[16]    valid_0's ndcg@1: 0.48576       valid_0's error: 0.613418
[17]    valid_0's ndcg@1: 0.48576       valid_0's error: 0.613684
[18]    valid_0's ndcg@1: 0.48576       valid_0's error: 0.613717
[19]    valid_0's ndcg@1: 0.486337      valid_0's error: 0.614201
[20]    valid_0's ndcg@1: 0.486683      valid_0's error: 0.614472
[21]    valid_0's ndcg@1: 0.487144      valid_0's error: 0.614785
[22]    valid_0's ndcg@1: 0.487144      valid_0's error: 0.615037
[23]    valid_0's ndcg@1: 0.48749       valid_0's error: 0.615087
[24]    valid_0's ndcg@1: 0.487951      valid_0's error: 0.615657
[25]    valid_0's ndcg@1: 0.487836      valid_0's error: 0.615562
[26]    valid_0's ndcg@1: 0.488182      valid_0's error: 0.61574
[27]    valid_0's ndcg@1: 0.489104      valid_0's error: 0.616384
[28]    valid_0's ndcg@1: 0.489104      valid_0's error: 0.616378
[29]    valid_0's ndcg@1: 0.489681      valid_0's error: 0.616746
[30]    valid_0's ndcg@1: 0.490142      valid_0's error: 0.617013
[31]    valid_0's ndcg@1: 0.490142      valid_0's error: 0.61722
[32]    valid_0's ndcg@1: 0.490027      valid_0's error: 0.617301
[33]    valid_0's ndcg@1: 0.490027      valid_0's error: 0.617329
[34]    valid_0's ndcg@1: 0.490488      valid_0's error: 0.617703
